,Name,City,Hospital_beds,Operating_rooms,Total,Trauma_designation,Affiliation,Notes
74,Margaret R. Pardee Memorial Hospital,Hendersonville,222,13,235,-,UNC,-
75,Maria Parham Medical Center,Henderson,102,7,109,-,DukeLP,-
76,Martin General Hospital,Williamston,49,3,52,-,-,-
77,Novant Health Medical Park Hospital,Winston-Salem,22,13,35,-,Novant,-
78,Memorial Mission Hospital and Asheville Surgery Center,Asheville,730,36,766,Level II,Mission,-
79,Morehead Memorial Hospital,Eden,229,8,237,-,QHR,-
80,Murphy Medical Center,Murphy,191,6,197,-,CHS,-
81,Nash General Hospital,Rocky Mount,353,18,371,-,Nash,-
82,New Hanover Regional Medical Center,Wilmington,769,37,806,Level II,NHRMC,-
83,North Carolina Specialty Hospital,Durham,18,4,22,-,-,-
84,Northern Hospital of Surry County,Mount Airy,133,7,140,-,QHR,-
85,Onslow Memorial Hospital,Jacksonville,162,13,175,-,-,-
86,Our Community Hospital,Scotland Neck,100,0,100,-,-,-
87,Park Ridge Health,Hendersonville,103,7,110,-,-,-
88,Pender Memorial Hospital,Burgaw,86,3,89,-,NHRMC,-
89,Person Memorial Hospital,Roxboro,110,5,115,-,DukeLP,-
90,Novant Health Presbyterian Medical Center,Charlotte,531,43,574,-,Novant,-
91,Novant Health Huntersville Medical Center,Huntersville,60,8,68,-,Novant,-
92,Novant Health Matthews Medical Center,Matthews,102,14,116,-,Novant,-
93,Novant Health Charlotte Orthopaedic Hospital,Charlotte,156,12,168,-,Novant,-
94,Vidant Pungo Hospital,Belhaven,49,2,51,-,Vidant,-
95,Randolph Hospital,Asheboro,145,8,153,-,-,-
96,Rex Healthcare,Raleigh,665,38,703,-,UNC,-
97,Vidant Roanoke-Chowan Hospital,Ahoskie,114,7,121,-,Vidant,-
98,Novant Health Rowan Medical Center,Salisbury,268,17,285,-,Novant,-
99,Rutherford Regional Medical Center,Rutherfordton,143,7,150,-,-,-
100,Sampson Regional Medical Center,Clinton,146,8,154,-,-,-
101,Sandhills Regional Medical Center,Hamlet,64,5,69,-,HMA,-
102,Scotland Memorial Hospital and Edwin Morgan Center,Laurinburg,154,8,162,-,CHS,-
103,Select Specialty Hospital - Durham,Durham,30,0,30,-,-,-
104,Select Specialty Hospital - Winston-Salem,Winston-Salem,42,0,42,-,-,-
105,Select Specialty Hospital-Greensboro,Greensboro,30,0,30,-,-,-
106,Southeastern Regional Medical Center,Lumberton,452,15,467,-,-,-
107,St. Luke's Hospital,Columbus,55,3,58,-,CHS,-
108,Stanly Regional Medical Center,Albemarle,119,8,127,-,CHS,-
109,Stokes-Reynolds Memorial Hospital,Danbury,93,5,98,-,-,-
110,Swain County Hospital,Bryson City,48,2,50,-,-,-
111,The McDowell Hospital,Marion,65,4,69,-,Mission,-
112,The Outer Banks Hospital,Nags Head,21,5,26,-,Vidant,-
113,Thomasville Medical Center,Thomasville,149,7,156,-,Novant,-
114,Transylvania Regional Hospital,Brevard,92,6,98,-,Mission,-
115,University of North Carolina Hospitals,Chapel Hill,778,48,826,Level I,UNC,Primary teaching hospital of University of North Carolina at Chapel Hill School of Medicine
116,Valdese General Hospital,Valdese,131,6,137,-,CHS,-
117,Vidant Medical Center,Greenville,861,35,896,Level I,Vidant,Primary teaching hospital of East Carolina University Brody School of Medicine
118,Wake Forest Baptist Medical Center,Winston-Salem,885,50,935,Level I,WFU,Primary teaching hospital of Wake Forest School of Medicine
119,WakeMed,Raleigh,618,35,653,Level I,WakeMed,-
120,WakeMed Cary Hospital,Cary,192,15,207,-,WakeMed,-
121,Washington County Hospital,Plymouth,49,2,51,-,-,-
122,Watauga Medical Center,Boone,117,9,126,-,ARHS,-
123,Wayne Memorial Hospital,Goldsboro,316,15,331,-,-,-
124,Wilkes Regional Medical Center,North Wilkesboro,144,9,153,-,CHS,-
125,Wilson Medical Center,Wilson,294,15,309,-,-,-
